Year,Country,GDP Per Capita - Foreign
1992,Sri Lanka,"$4,137.05"
1993,New Zealand,"$27,384.72"
1993,Thailand,"$8,754.24"
1993,Indonesia,"$5,224.17"
1993,Germany,"$38,044.38"
1993,Hong Kong SAR,"$33,200.22"
1993,United States,"$41,330.05"
1993,Malaysia,"$12,502.86"
1993,United Kingdom,"$30,959.89"
1993,Fiji,"$8,574.62"
1993,Papua New Guinea,"$3,354.98"
1993,Italy,"$37,246.84"
1993,Singapore,"$43,555.62"
1993,Japan,"$33,005.95"
1993,Canada,"$31,367.00"
1993,Guam,
1993,Zimbabwe,"$3,033.50"
1993,Solomon Islands,"$2,363.68"
1993,Philippines,"$4,006.70"
1993,New Caledonia,
1993,Tahiti,
1993,Vanuatu,"$2,744.61"
1993,Korea,"$15,452.84"
1993,Taiwan,
1993,Brunei,"$70,909.56"
1993,Netherlands,"$37,790.28"
1993,Greece,"$24,358.00"
1993,Bahrain,"$47,835.42"
1993,China,"$1,949.41"
1993,Sri Lanka,"$4,376.13"
1993,South Africa,"$9,375.05"
1993,Nauru,
1993,Austria,"$38,871.37"
1993,Western Samoa,
1993,Argentina,"$17,312.18"
1993,France,"$34,068.28"
1993,Cook Islands,
1993,Tonga,"$4,333.49"
1993,United Arab Emirates,"$98,978.29"
1993,Wallis Island,
1993,Russia,"$15,919.29"
1994,New Zealand,"$28,406.49"
1994,Thailand,"$9,368.01"
1994,Indonesia,"$5,529.23"
1994,Germany,"$38,821.82"
1994,Hong Kong SAR,"$34,420.25"
1994,United States,"$42,471.14"
1994,South Africa,"$9,453.16"
1994,Malaysia,"$13,317.93"
1994,United Kingdom,"$32,068.86"
1994,Philippines,"$4,085.14"
1994,Fiji,"$8,886.61"
1994,France,"$34,742.16"
1994,Papua New Guinea,"$3,472.52"
1994,Italy,"$38,040.28"
1994,Singapore,"$46,895.05"
1994,Japan,"$33,220.35"
1994,Canada,"$32,419.75"
1994,Zimbabwe,"$3,263.93"
1994,Solomon Islands,"$2,508.75"
1994,New Caledonia,
1994,Tahiti,
1994,Vanuatu,"$2,913.20"
1994,Korea,"$16,716.07"
1994,Taiwan,
1994,Brunei,"$71,175.85"
1994,Netherlands,"$38,675.39"
1994,Western Samoa,
1994,Greece,"$24,721.07"
1994,Bahrain,"$46,554.76"
1994,China,"$2,179.08"
1994,United Arab Emirates,"$100,212.81"
1994,Nauru,
1994,Austria,"$39,652.21"
1994,Mauritius,"$9,252.72"
1994,Argentina,"$18,092.18"
1994,Russia,"$13,923.05"
1994,Tonga,"$4,539.46"
